tag,subj,mech,sev,C::stance_frac_l,C::step_time_l,C::step_time_cv_l,C::stance_frac_r,C::step_time_r,C::step_time_cv_r,C::stance_asym,C::step_time_asym,C::speed,G::vgrf_peak_l,G::vgrf_mean_l,G::brake_imp_l,G::prop_imp_l,G::fx_peak_l,G::fx_min_l,G::load_rate_l,G::vgrf_peak_r,G::vgrf_mean_r,G::brake_imp_r,G::prop_imp_r,G::fx_peak_r,G::fx_min_r,G::load_rate_r,G::vgrf_peak_asym,G::vgrf_mean_asym,G::brake_imp_asym,G::prop_imp_asym,G::fx_peak_asym,G::fx_min_asym,G::load_rate_asym
KF40L,base,KF,40,0.6755407653910149,1.1050000000000004,0.03196347029044459,0.5740432612312812,1.12,0.05526771302739029,0.10149750415973369,-0.01499999999999968,0.9958599998340234,1.6093344983253242,0.8726356209150327,-0.208788542187268,0.13005431025192674,0.20034949759720402,-0.2969025775447794,30.60230085918226,1.3034338138925294,0.8195759336292242,-0.08023721531964297,0.1623720788553919,0.22935925440512595,-0.2060099024319208,25.17809815057575,0.3059006844327947,0.053059687285808455,-0.12855132686762505,-0.03231776860346516,-0.02900975680792192,-0.09089267511285859,5.424202708606511
PF20L,base,PF,20,0.5524126455906821,1.3450000000000002,0.016067261653835662,0.64891846921797,1.3599999999999994,0.01514598034011094,-0.09650582362728788,-0.014999999999999236,0.9837566665027071,1.8272171253822629,0.8870401518700403,-0.16869023139653055,0.1572251529780074,0.2141677588466579,-0.3576438036988495,37.02446483180506,1.4648318042813455,0.8804221449294845,-0.1672387929925696,0.1897912011649879,0.2218668996650648,-0.3760463084316295,28.116353575069763,0.36238532110091737,0.0066180069405558095,-0.0014514384039609474,-0.0325660481869805,-0.007699140818406891,0.01840250473277999,8.9081112567353
PF40L,base,PF,40,0.5723793677204659,1.4399999999999995,0.003281237961458686,0.6356073211314476,1.4399999999999995,2.9526600519255345e-16,-0.06322795341098164,0.0,0.9433566665094406,1.8043250327653997,0.8921974128033974,-0.13721844775010628,0.17667470835881374,0.1800262123197903,-0.33249890782000874,46.62880442697055,1.2568457841852336,0.8748186409392519,-0.20444133264161496,0.14691667196592084,0.20963011504295906,-0.37817824377457404,28.51186835590566,0.5474792485801661,0.017378771864145492,0.06722288489150868,0.0297580363928929,-0.029603902723168762,0.0456793359545653,18.116936071064888
PF60L,base,PF,60,0.5141430948419301,1.31,0.008302664648037405,0.7154742096505824,1.3099999999999996,0.003607687656353815,-0.2013311148086523,4.440892098500626e-16,0.9884333331685945,1.6433085772535314,0.8002199897921818,-0.06331252246978167,0.23685674879859697,0.22159021406727827,-0.17336391437308868,26.365807485074097,1.5561380515508954,0.9069549645930486,-0.3151108438182545,0.1363764619455337,0.19672637250618902,-0.8254594437163243,102.18304936653777,0.08717052570263606,-0.1067349748008668,0.2517983213484728,0.10048028685306326,0.024863841561089256,0.6520955293432356,-75.81724188146367
s1DF20L,s1,DF,20,0.6006655574043261,1.3000000000000003,0.014743082038332767,0.5906821963394343,1.2999999999999998,0.012561485850763606,0.009983361064891838,4.440892098500626e-16,1.0713183331547804,1.5358817533129459,0.8896092145703063,-0.2013886230231499,0.1592597184010451,0.22070918887432647,-0.3723605650211154,59.116207951071594,1.5403232852774136,0.8872724013807617,-0.1514520851681925,0.19921589749526297,0.22768020969855832,-0.3856691422746468,38.5086646279315,-0.0044415319644677265,0.0023368131895445954,-0.049936537854957386,-0.039956179094217864,-0.006971020824231844,0.013308577253531406,20.607543323140092
s1DF40L,s1,DF,40,0.6023294509151415,1.29,4.868503744082633e-16,0.5707154742096506,1.2999999999999998,0.007289760625152907,0.03161397670549082,-0.009999999999999787,1.113029999814495,1.6398572884811415,0.9214286699862502,-0.231925609854371,0.15463132228629348,0.21256443861948446,-0.565711373234309,74.38313674093648,1.612567351099461,0.8838120809329786,-0.1415506732051812,0.2079460188291786,0.22411679044706567,-0.3217620503859036,30.778112712975748,0.027289937381680618,0.03761658905327159,-0.0903749366491898,-0.05331469654288512,-0.011552351827581214,-0.24394932284840537,43.60502402796073
s1DF60L,s1,DF,60,0.5690515806988353,0.45999999999999996,0.3676047236305745,0.6222961730449251,1.3500000000000005,0.012528303463966271,-0.0532445923460898,-0.8900000000000006,1.0036999998327167,1.4983835736129314,0.8394029823625139,-0.18058064099897678,0.17034760368428353,0.22077326343381387,-0.38276976845784183,62.3955147808372,1.6554536187563709,0.937978555892749,-0.17737259662443192,0.19311988616717224,0.23624435707004515,-0.4225163826998689,61.514780835883066,-0.15707004514343947,-0.09857557353023516,-0.0032080443745448606,-0.022772282482888706,-0.015471093636231281,0.03974661424202708,0.8807339449541374
s1HF20L,s1,HF,20,0.6189683860232945,1.2800000000000002,0.02732727990770637,0.5806988352745425,1.2649999999999997,0.03223824761185811,0.038269550748752046,0.015000000000000568,1.0769083331538487,1.48319499053444,0.8800576215473679,-0.1888810392412949,0.19475442046016767,0.22461919324304647,-0.3563259065093927,47.42070773263535,1.514984709480122,0.8769701794411274,-0.17243762115916333,0.19984460096111412,0.2321901849424785,-0.34051987767584097,48.234745886123044,-0.031789718945682166,0.0030874421062404567,-0.016443418082131567,-0.005090180500946451,-0.007570991699432039,-0.015806028833551755,-0.8140381534876937
s1HF40L,s1,HF,40,0.5607321131447587,1.3399999999999999,0.003225420495863449,0.6206322795341098,1.3399999999999999,0.0,-0.05990016638935114,0.0,0.9893933331684344,1.557492354740061,0.8915110404164933,-0.16670926496286234,0.16144738964613023,0.2128556866171545,-0.2699898063200815,40.4552206203591,1.6888015144895878,0.9030879685763655,-0.1840398482845454,0.19197153249016624,0.20791320809669434,-0.34540265035677875,40.88000582496081,-0.13130915974952684,-0.011576928159872213,0.017330583321683052,-0.030524142844036012,0.004942478520460175,0.07541284403669724,-0.42478520460171154
s1HF60L,s1,HF,60,0.5341098169717138,1.0999999999999996,0.3347942132178616,0.6505823627287853,1.3600000000000003,0.01047565600981882,-0.11647254575707155,-0.2600000000000007,1.000093333166651,1.524464831804281,0.8373999823980961,-0.11375675444007328,0.18544831955118285,0.20608271443133827,-0.31400902868792774,78.23401776612953,1.9898063200815495,0.9512922632688229,-0.27290511498470366,0.1777166665647261,0.19855686617154505,-0.8148929663608562,77.54055628367719,-0.4653414882772684,-0.11389228087072678,0.15914836054463039,0.007731652986456755,0.007525848259793216,0.5008839376729284,0.6934614824523351
s1KE20L,s1,KE,20,0.6089850249584027,1.2800000000000007,0.005524271723704191,0.5873544093178037,1.2800000000000002,0.00369246360643721,0.021630615640598982,4.440892098500626e-16,0.9506783331748869,1.5559341779525264,0.8921006214086376,-0.18024075773991166,0.14066810994611612,0.2227712246978302,-0.26426241444590065,29.021989223824704,1.4384520168923838,0.8749999384687329,-0.13237982772680654,0.1683288533566296,0.21458569972331437,-0.27525993883792044,25.6449686908408,0.11748216106014264,0.017100682939904632,-0.047860930013105124,-0.027660743410513472,0.008185524974515829,0.010997524392019786,3.377020532983906
s1KE40L,s1,KE,40,0.5540765391014975,1.3150000000000004,0.014172944636133786,0.6289517470881864,1.3399999999999999,0.007071067806562494,-0.0748752079866889,-0.024999999999999467,0.9783466665036088,1.4514343963885248,0.8786794545465643,-0.12709877287024632,0.15681371259792878,0.22415756516673946,-0.3601834862385321,48.8318042813466,2.0631280034949757,0.9098587385571512,-0.21975635856341455,0.1852554915974913,0.23274355613805153,-0.4929343235765254,54.15610892675229,-0.6116936071064509,-0.031179284010586894,0.09265758569316823,-0.028441778999562517,-0.008585990971312074,0.1327508373379933,-5.3243046454056895
s1KF20L,s1,KF,20,0.6191275167785235,1.125,0.4624816556889538,0.6258389261744967,1.1749999999999998,0.08793832297445495,-0.006711409395973145,-0.04999999999999982,1.1156067225015789,1.5556429299548564,0.8328667098408278,-0.18500711561962618,0.17993488635502747,0.2190811125673511,-0.35659094218727244,26.849279161206336,1.5006989951944079,0.8453696729628548,-0.12120774807047945,0.23689804303188658,0.34900247560798014,-0.33543031891655745,35.74952672200454,0.054943934760448565,-0.012502963122027033,-0.06379936754914674,-0.05696315667685911,-0.12992136304062904,-0.021160623270714995,-8.900247560798203
s1KF40L,s1,KF,40,0.6397306397306397,0.9900000000000002,0.615139461575745,0.6127946127946128,0.75,0.5452136001984335,0.026936026936026924,0.2400000000000002,1.1406340638885946,1.9849570409203434,0.8436813372334573,-0.25842514035240455,0.21456585897771493,0.2521901849424785,-0.7577399155380806,114.92048929663851,1.6782728993738167,0.8472587326391389,-0.11780464419979361,0.2920690671326572,0.40417212756662296,-0.6873234309014126,61.334789573322986,0.3066841415465267,-0.0035773954056815827,-0.14062049615261094,-0.07750320815494224,-0.15198194262414444,-0.07041648463666805,53.58569972331552
s1PF20L,s1,PF,20,0.6139767054908486,1.2649999999999997,0.00395256916683618,0.6023294509151415,1.2650000000000001,0.0039525691668358285,0.011647254575707144,-4.440892098500626e-16,1.0282483331619587,1.5347750109218,0.8864343715258909,-0.1713630056793323,0.18478964263870293,0.23082131935342942,-0.28024901703800786,26.603465851172814,1.244884228920926,0.8612676359914943,-0.16974089657215305,0.17049843090140893,0.21874763361001892,-0.3146847240425222,36.40512596475976,0.2898907820008738,0.025166735534396634,-0.0016221091071792482,0.014291211737294002,0.0120736857434105,0.034435707004514315,-9.801660113586948
